Date, Sent, Opened, Unique Opened, Replied, Link Clicks, Unique Link Clicks
2026-05-28, 112, 0, 0, 4, 0, 0
2026-05-29, 120, 0, 0, 3, 0, 0
2026-05-30, 91, 0, 0, 4, 0, 0
2026-05-31, 91, 0, 0, 1, 0, 0
2026-06-01, 115, 0, 0, 3, 0, 0
2026-06-02, 116, 0, 0, 4, 0, 0
2026-06-03, 0, 0, 0, 1, 0, 0
2026-06-04, 91, 0, 0, 2, 0, 0
2026-06-05, 114, 0, 0, 2, 0, 0
2026-06-06, 98, 0, 0, 4, 0, 0
2026-06-07, 18, 0, 0, 1, 0, 0
2026-06-09, 1, 0, 0, 0, 0, 0
2026-06-10, 2, 0, 0, 0, 0, 0
2026-06-11, 8, 0, 0, 1, 0, 0
2026-06-12, 0, 0, 0, 1, 0, 0
2026-06-18, 0, 0, 0, 1, 0, 0
2026-06-19, 0, 0, 0, 1, 0, 0
